"Date and Time Run #2","Time (s) Run #2","Black Bottle","Brushed Aluminum Bottle","White Bottle"
04/16/2026 03:45:37 pm,208.000,23.8,22.8,22.3
04/16/2026 03:45:37 pm,208.500,23.9,22.8,
04/16/2026 03:45:38 pm,209.000,23.9,22.8,22.3
04/16/2026 03:45:38 pm,209.500,23.9,22.8,
04/16/2026 03:45:39 pm,210.000,23.9,22.8,22.3
04/16/2026 03:45:39 pm,210.500,23.9,22.8,
04/16/2026 03:45:40 pm,211.000,23.9,22.8,22.3
04/16/2026 03:45:40 pm,211.500,23.9,22.8,
04/16/2026 03:45:41 pm,212.000,23.9,22.8,22.3
04/16/2026 03:45:41 pm,212.500,23.9,22.8,
04/16/2026 03:45:42 pm,213.000,23.9,22.8,22.3
04/16/2026 03:45:42 pm,213.500,23.9,22.8,
04/16/2026 03:45:43 pm,214.000,23.9,22.8,22.3
04/16/2026 03:45:43 pm,214.500,23.9,22.8,
04/16/2026 03:45:44 pm,215.000,23.9,22.8,22.3
04/16/2026 03:45:44 pm,215.500,23.9,22.8,
04/16/2026 03:45:45 pm,216.000,23.9,22.8,22.3
04/16/2026 03:45:45 pm,216.500,23.9,22.8,
04/16/2026 03:45:46 pm,217.000,23.9,22.8,22.3
04/16/2026 03:45:46 pm,217.500,23.9,22.8,
04/16/2026 03:45:47 pm,218.000,23.9,22.8,22.3
04/16/2026 03:45:47 pm,218.500,23.9,22.8,
04/16/2026 03:45:48 pm,219.000,23.9,22.8,22.3
04/16/2026 03:45:48 pm,219.500,23.9,22.8,
04/16/2026 03:45:49 pm,220.000,23.9,22.8,22.3
04/16/2026 03:45:49 pm,220.500,24.0,22.8,
04/16/2026 03:45:50 pm,221.000,23.9,22.8,22.3
04/16/2026 03:45:50 pm,221.500,24.0,22.8,
04/16/2026 03:45:51 pm,222.000,24.0,22.8,22.3
04/16/2026 03:45:51 pm,222.500,24.0,22.8,
04/16/2026 03:45:52 pm,223.000,24.0,22.8,22.3
04/16/2026 03:45:52 pm,223.500,24.0,22.8,
04/16/2026 03:45:53 pm,224.000,24.0,22.8,22.3
