sweep_index,point_index,elapsed_time_s,angle_deg,dist_mm
4.700000000000000000e+01,1.000000000000000000e+00,9.417548441886901855e+01,0.000000000000000000e+00,1.824000000000000057e+02
4.700000000000000000e+01,2.000000000000000000e+00,9.417548441886901855e+01,4.500000000000000000e+01,2.110000000000000000e+02
4.800000000000000000e+01,0.000000000000000000e+00,9.613731575012207031e+01,-4.500000000000000000e+01,2.060000000000000000e+02
4.800000000000000000e+01,1.000000000000000000e+00,9.613731575012207031e+01,0.000000000000000000e+00,1.838000000000000114e+02
4.800000000000000000e+01,2.000000000000000000e+00,9.613731575012207031e+01,4.500000000000000000e+01,2.110000000000000000e+02
4.900000000000000000e+01,0.000000000000000000e+00,9.809944629669189453e+01,-4.500000000000000000e+01,2.048000000000000114e+02
4.900000000000000000e+01,1.000000000000000000e+00,9.809944629669189453e+01,0.000000000000000000e+00,1.841999999999999886e+02
4.900000000000000000e+01,2.000000000000000000e+00,9.809944629669189453e+01,4.500000000000000000e+01,2.140000000000000000e+02
5.000000000000000000e+01,0.000000000000000000e+00,1.000616044998168945e+02,-4.500000000000000000e+01,2.041999999999999886e+02
5.000000000000000000e+01,1.000000000000000000e+00,1.000616044998168945e+02,0.000000000000000000e+00,1.835999999999999943e+02
5.000000000000000000e+01,2.000000000000000000e+00,1.000616044998168945e+02,4.500000000000000000e+01,2.131999999999999886e+02
5.100000000000000000e+01,0.000000000000000000e+00,1.020236024856567383e+02,-4.500000000000000000e+01,2.031999999999999886e+02
5.100000000000000000e+01,1.000000000000000000e+00,1.020236024856567383e+02,0.000000000000000000e+00,1.840000000000000000e+02
5.100000000000000000e+01,2.000000000000000000e+00,1.020236024856567383e+02,4.500000000000000000e+01,2.125999999999999943e+02
5.200000000000000000e+01,0.000000000000000000e+00,1.039856555461883545e+02,-4.500000000000000000e+01,2.024000000000000057e+02
5.200000000000000000e+01,1.000000000000000000e+00,1.039856555461883545e+02,0.000000000000000000e+00,1.838000000000000114e+02
